tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
0,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
0,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
0,belize,,0.000000,0.000000,0.000000,,,,,,,0,
0,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
0,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
0,nicaragua,nation_nicaragua,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,costa_rica,nation_costa_rica,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
0,panama,,0.000000,0.000000,0.000000,,,,,,,0,
1,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
1,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
1,belize,,0.000000,0.000000,0.000000,,,,,,,0,
1,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
1,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
1,nicaragua,nation_nicaragua,0.002000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
1,costa_rica,nation_costa_rica,0.000200,0.000000,0.000000,0.020000,0.000000,0.000000,-0.040000,0.000000,0.000000,0,1.000000
1,panama,,0.000000,0.000000,0.000000,,,,,,,0,
2,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
2,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
2,belize,,0.000000,0.000000,0.000000,,,,,,,0,
2,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
2,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
2,nicaragua,nation_nicaragua,0.003800,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
2,costa_rica,nation_costa_rica,0.000380,0.000000,0.000000,0.020000,0.000000,0.000000,-0.040000,0.000000,0.000000,0,1.000000
2,panama,,0.000000,0.000000,0.000000,,,,,,,0,
3,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
3,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
3,belize,,0.000000,0.000000,0.000000,,,,,,,0,
3,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
3,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
3,nicaragua,nation_nicaragua,0.005420,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,costa_rica,nation_costa_rica,0.000542,0.000000,0.000000,0.020000,0.000000,0.000000,-0.040000,0.000000,0.000000,0,1.000000
3,panama,,0.000000,0.000000,0.000000,,,,,,,0,
4,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
4,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
4,belize,,0.000000,0.000000,0.000000,,,,,,,0,
4,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
4,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
4,nicaragua,nation_nicaragua,0.006878,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,costa_rica,nation_costa_rica,0.000688,0.000000,0.000000,0.020000,0.000000,0.000000,-0.040000,0.000000,0.000000,0,1.000000
4,panama,,0.000000,0.000000,0.000000,,,,,,,0,
5,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
5,guatemala,,0.000000,0.000000,0.000000,,,,,,,0,
5,belize,,0.000000,0.000000,0.000000,,,,,,,0,
5,honduras,,0.000000,0.000000,0.000000,,,,,,,0,
5,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
